# x(m)  y(m)  z(m)  nx  ny  nz
   1.92477486E+00  -3.36704009E-05   8.11657743E-02  -7.95444796E-01  -3.36704009E-02   6.05089978E-01
   1.92393269E+00  -3.34570363E-05   8.00446270E-02  -8.02728713E-01  -3.34570363E-02   5.95405105E-01
   1.92310198E+00  -3.32303696E-05   7.89103837E-02  -8.09882178E-01  -3.32303696E-02   5.85650579E-01
   1.92228292E+00  -3.29904807E-05   7.77631888E-02  -8.16906186E-01  -3.29904807E-02   5.75826285E-01
   1.92147568E+00  -3.27374337E-05   7.66031865E-02  -8.23801641E-01  -3.27374337E-02   5.65932077E-01
   1.92068044E+00  -3.24712769E-05   7.54305211E-02  -8.30569347E-01  -3.24712769E-02   5.55967783E-01
   1.91989738E+00  -3.21920437E-05   7.42453369E-02  -8.37210012E-01  -3.21920437E-02   5.45933209E-01
   1.91912669E+00  -3.18997525E-05   7.30477782E-02  -8.43724249E-01  -3.18997525E-02   5.35828142E-01
   1.91836854E+00  -3.15944072E-05   7.18379891E-02  -8.50112574E-01  -3.15944072E-02   5.25652361E-01
   1.91762312E+00  -3.12760657E-05   7.06161164E-02  -8.56371612E-01  -3.12760657E-02   5.15411941E-01
   1.91689058E+00  -3.09449605E-05   6.93823313E-02  -8.62490445E-01  -3.09449605E-02   5.05126363E-01
   1.91617107E+00  -3.06009370E-05   6.81367955E-02  -8.68470295E-01  -3.06009370E-02   4.94795845E-01
   1.91546473E+00  -3.02438336E-05   6.68796705E-02  -8.74312314E-01  -3.02438336E-02   4.84420569E-01
   1.91477169E+00  -2.98734823E-05   6.56111180E-02  -8.80017574E-01  -2.98734823E-02   4.74000679E-01
   1.91409210E+00  -2.94897099E-05   6.43312993E-02  -8.85587076E-01  -2.94897099E-02   4.63536286E-01
   1.91342610E+00  -2.90923379E-05   6.30403761E-02  -8.91021741E-01  -2.90923379E-02   4.53027475E-01
   1.91277383E+00  -2.86811835E-05   6.17385097E-02  -8.96322418E-01  -2.86811835E-02   4.42474308E-01
   1.91213542E+00  -2.82560600E-05   6.04258616E-02  -9.01489879E-01  -2.82560600E-02   4.31876827E-01
   1.91151103E+00  -2.78167775E-05   5.91025932E-02  -9.06524822E-01  -2.78167775E-02   4.21235059E-01
   1.91090079E+00  -2.73635503E-05   5.77688829E-02  -9.11420427E-01  -2.73635503E-02   4.10565515E-01
   1.91030481E+00  -2.68966733E-05   5.64249352E-02  -9.16169807E-01  -2.68966733E-02   3.99886801E-01
   1.90972318E+00  -2.64159917E-05   5.50709470E-02  -9.20774916E-01  -2.64159917E-02   3.89198856E-01
   1.90915600E+00  -2.59213561E-05   5.37071152E-02  -9.25237621E-01  -2.59213561E-02   3.78501557E-01
   1.90860336E+00  -2.54126228E-05   5.23336368E-02  -9.29559702E-01  -2.54126228E-02   3.67794724E-01
   1.90806536E+00  -2.48896543E-05   5.09507085E-02  -9.33742854E-01  -2.48896543E-02   3.57078125E-01
   1.90754209E+00  -2.43523197E-05   4.95585273E-02  -9.37788684E-01  -2.43523197E-02   3.46351482E-01
   1.90703365E+00  -2.38004957E-05   4.81572897E-02  -9.41698710E-01  -2.38004957E-02   3.35614474E-01
   1.90654013E+00  -2.32340665E-05   4.67471926E-02  -9.45474367E-01  -2.32340665E-02   3.24866741E-01
   1.90606163E+00  -2.26529247E-05   4.53284327E-02  -9.49116999E-01  -2.26529247E-02   3.14107891E-01
   1.90559824E+00  -2.20575757E-05   4.39012312E-02  -9.52621983E-01  -2.20575757E-02   3.03355931E-01
   1.90515002E+00  -2.14485494E-05   4.24658372E-02  -9.55986500E-01  -2.14485494E-02   2.92625651E-01
   1.90471703E+00  -2.08259305E-05   4.10224931E-02  -9.59213039E-01  -2.08259305E-02   2.81915993E-01
   1.90429932E+00  -2.01898149E-05   3.95714410E-02  -9.62303964E-01  -2.01898149E-02   2.71225832E-01
   1.90389693E+00  -1.95403099E-05   3.81129234E-02  -9.65261517E-01  -1.95403099E-02   2.60553987E-01
   1.90350994E+00  -1.88775350E-05   3.66471822E-02  -9.68087814E-01  -1.88775350E-02   2.49899227E-01
   1.90313838E+00  -1.82016218E-05   3.51744596E-02  -9.70784849E-01  -1.82016218E-02   2.39260270E-01
   1.90278231E+00  -1.75127144E-05   3.36949977E-02  -9.73354498E-01  -1.75127144E-02   2.28635795E-01
   1.90244179E+00  -1.68109697E-05   3.22090386E-02  -9.75798511E-01  -1.68109697E-02   2.18024440E-01
   1.90211687E+00  -1.60965581E-05   3.07168243E-02  -9.78118524E-01  -1.60965581E-02   2.07424813E-01
   1.90180760E+00  -1.53702761E-05   2.92186228E-02  -9.80312954E-01  -1.53702761E-02   1.96850873E-01
   1.90151400E+00  -1.46327899E-05   2.77147233E-02  -9.82382264E-01  -1.46327899E-02   1.86308800E-01
   1.90123611E+00  -1.38845004E-05   2.62054102E-02  -9.84328632E-01  -1.38845004E-02   1.75796371E-01
   1.90097394E+00  -1.31258180E-05   2.46909679E-02  -9.86154084E-01  -1.31258180E-02   1.65311327E-01
   1.90072753E+00  -1.23571626E-05   2.31716806E-02  -9.87860492E-01  -1.23571626E-02   1.54851376E-01
   1.90049689E+00  -1.15789642E-05   2.16478326E-02  -9.89449578E-01  -1.15789642E-02   1.44414197E-01
   1.90028206E+00  -1.07916630E-05   2.01197083E-02  -9.90922916E-01  -1.07916630E-02   1.33997445E-01
   1.90008305E+00  -9.99570991E-06   1.85875917E-02  -9.92281933E-01  -9.99570991E-03   1.23598752E-01
   1.89989990E+00  -9.19156657E-06   1.70517672E-02  -9.93527912E-01  -9.19156657E-03   1.13215735E-01
   1.89973262E+00  -8.37970590E-06   1.55125189E-02  -9.94661994E-01  -8.37970590E-03   1.02845992E-01
   1.89958124E+00  -7.56114106E-06   1.39701547E-02  -9.95684086E-01  -7.56114106E-03   9.24988125E-02
   1.89944577E+00  -6.73658391E-06   1.24249898E-02  -9.96595282E-01  -6.73658391E-03   8.21733713E-02
   1.89932621E+00  -5.90665881E-06   1.08773338E-02  -9.97396752E-01  -5.90665881E-03   7.18667494E-02
   1.89922256E+00  -5.07199290E-06   9.32749625E-03  -9.98089510E-01  -5.07199290E-03   6.15760147E-02
   1.89913485E+00  -4.23321645E-06   7.77578692E-03  -9.98674407E-01  -4.23321645E-03   5.12982246E-02
   1.89906306E+00  -3.39096321E-06   6.22251541E-03  -9.99152143E-01  -3.39096321E-03   4.10304284E-02
   1.89900722E+00  -2.54587078E-06   4.66799134E-03  -9.99523259E-01  -2.54587078E-03   3.07696695E-02
   1.89896732E+00  -1.69858099E-06   3.11252434E-03  -9.99788144E-01  -1.69858099E-03   2.05129871E-02
   1.89894337E+00  -8.49740262E-07   1.55642402E-03  -9.99947030E-01  -8.49740262E-04   1.02574183E-02
   1.89893539E+00  -7.52343037E-17   1.88153318E-17  -1.00000000E+00  -7.52343037E-14   6.56193124E-17
   1.89894337E+00   8.49740261E-07  -1.55642402E-03  -9.99947030E-01   8.49740261E-04  -1.02574183E-02
   1.89896732E+00   1.69858099E-06  -3.11252434E-03  -9.99788144E-01   1.69858099E-03  -2.05129871E-02
   1.89900722E+00   2.54587078E-06  -4.66799134E-03  -9.99523259E-01   2.54587078E-03  -3.07696695E-02
   1.89906306E+00   3.39096321E-06  -6.22251541E-03  -9.99152143E-01   3.39096321E-03  -4.10304284E-02
   1.89913485E+00   4.23321645E-06  -7.77578692E-03  -9.98674407E-01   4.23321645E-03  -5.12982246E-02
